Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market,ShortPercent,ShortExemptPercent,ShortExemptRatio,NonShortVolume,DayOfWeek,WeekNumber,YearWeek,Month,YearMonth
2020-09-02,MSOS,31610,0,34457,"Q,N",91.74,0.0,0.0,2847,Wednesday,36,2020-W35,2020-09,2020-09
2020-09-03,MSOS,30511,0,38653,"B,Q,N",78.94,0.0,0.0,8142,Thursday,36,2020-W35,2020-09,2020-09
2020-09-04,MSOS,42911,0,49331,"Q,N",86.99,0.0,0.0,6420,Friday,36,2020-W35,2020-09,2020-09
2020-09-08,MSOS,39760,50,55399,"Q,N",71.77,0.0903,0.1258,15639,Tuesday,37,2020-W36,2020-09,2020-09
2020-09-09,MSOS,15315,0,33838,"B,Q,N",45.26,0.0,0.0,18523,Wednesday,37,2020-W36,2020-09,2020-09
2020-09-10,MSOS,13023,0,16938,"B,Q,N",76.89,0.0,0.0,3915,Thursday,37,2020-W36,2020-09,2020-09
2020-09-11,MSOS,7180,0,8871,"B,Q,N",80.94,0.0,0.0,1691,Friday,37,2020-W36,2020-09,2020-09
2020-09-14,MSOS,20101,0,22271,"B,Q,N",90.26,0.0,0.0,2170,Monday,38,2020-W37,2020-09,2020-09
2020-09-15,MSOS,5698,0,8589,"Q,N",66.34,0.0,0.0,2891,Tuesday,38,2020-W37,2020-09,2020-09
2020-09-16,MSOS,39385,0,47016,"Q,N",83.77,0.0,0.0,7631,Wednesday,38,2020-W37,2020-09,2020-09
2020-09-17,MSOS,9356,0,12107,"Q,N",77.28,0.0,0.0,2751,Thursday,38,2020-W37,2020-09,2020-09
2020-09-18,MSOS,17629,0,19795,"Q,N",89.06,0.0,0.0,2166,Friday,38,2020-W37,2020-09,2020-09
2020-09-21,MSOS,22536,0,31528,"B,Q,N",71.48,0.0,0.0,8992,Monday,39,2020-W38,2020-09,2020-09
2020-09-22,MSOS,12974,0,17655,"Q,N",73.49,0.0,0.0,4681,Tuesday,39,2020-W38,2020-09,2020-09
